iter	RMSE
0	76.8478664
1	75.90237595
2	74.88634715
3	73.91063009
4	72.91584027
5	72.03934618
6	71.23983907
7	70.55449051
8	69.70060164
9	68.93153647
10	68.15287915
11	67.43958794
12	66.83504186
13	66.23535028
14	65.58349283
15	64.9140897
16	64.31643511
17	63.72644807
18	63.28873631
19	62.65790119
20	62.17827837
21	61.59251306
22	61.03896182
23	60.5338448
24	60.07627559
25	59.7277517
26	59.23570073
27	58.80430549
28	58.4393444
29	58.03624271
30	57.63150009
31	57.20263961
32	56.8604118
33	56.45995747
34	56.1188654
35	55.78839385
36	55.44483906
37	55.12857862
38	54.81741101
39	54.45824715
40	54.14001693
41	53.87299469
42	53.5566301
43	53.28119358
44	53.07807481
45	52.76639495
46	52.50878214
47	52.24982203
48	51.96799458
49	51.6835029
50	51.46258429
51	51.26134554
52	51.04418852
53	50.90066874
54	50.65894376
55	50.44593292
56	50.23370971
57	50.02915625
58	49.84639601
59	49.67262121
60	49.47896456
61	49.276841
62	49.1108296
63	48.91219388
64	48.7832913
65	48.55665119
66	48.37124229
67	48.23599136
68	48.0802474
69	47.93528581
70	47.79701475
71	47.66776376
72	47.53202073
73	47.35596055
74	47.1885321
75	47.00972024
76	46.89949253
77	46.8239778
78	46.67544873
79	46.55213578
80	46.45548696
81	46.35940987
82	46.23244247
83	46.15459095
84	46.03013751
85	45.85276862
86	45.7213467
87	45.60639011
88	45.5331221
89	45.41608183
90	45.31620319
91	45.17631847
92	45.05552042
93	44.95442112
94	44.82497861
95	44.7205695
96	44.59143133
97	44.49612901
98	44.40239236
99	44.32122611
100	44.22992988
101	44.12341177
102	44.02515263
103	43.93940729
104	43.8797481
105	43.81296549
106	43.65090062
107	43.55769052
108	43.52270445
109	43.45839239
110	43.40446115
111	43.29173451
112	43.22893803
113	43.11984299
114	43.0245378
115	42.96761206
116	42.83914567
117	42.80280787
118	42.7509157
119	42.69419249
120	42.66433107
121	42.6266616
122	42.54004536
123	42.48555122
124	42.41804008
125	42.33018589
126	42.28573192
127	42.21765087
128	42.17642369
129	42.11357011
130	41.97432788
131	41.8574431
132	41.80204349
133	41.73238079
134	41.69276462
135	41.62063713
136	41.57440786
137	41.53521927
138	41.47259715
139	41.36342056
140	41.30065285
141	41.21727723
142	41.11873983
143	41.0626614
144	40.98797545
145	40.94434416
146	40.83129806
147	40.72139428
148	40.66498806
149	40.59508922
150	40.5210784
151	40.44896936
152	40.39329993
153	40.28903726
154	40.22994384
155	40.14140877
156	40.0615012
157	39.97998556
158	39.91779685
159	39.78068382
160	39.76400863
161	39.66539927
162	39.60166598
163	39.5591191
164	39.51239059
165	39.38093806
166	39.35065191
167	39.27912862
168	39.25286009
169	39.15813271
170	39.09574028
171	39.00216328
172	38.96192689
173	38.88415545
174	38.83676152
175	38.80927551
176	38.72595005
177	38.68548174
178	38.59088618
179	38.55850134
180	38.45282306
181	38.35492326
182	38.31202615
183	38.23070821
184	38.13134194
185	38.02497176
186	37.91125538
187	37.83748203
188	37.7976396
189	37.75022602
190	37.67170026
191	37.56081715
192	37.50627644
193	37.35138139
194	37.30310242
195	37.26955303
196	37.23257024
197	37.18624763
198	37.10067037
199	37.05952515
200	36.99817135
201	36.87683529
202	36.77949907
203	36.72315558
204	36.68129064
205	36.58692329
206	36.55328213
207	36.54160152
208	36.53005846
209	36.49856871
210	36.38817409
211	36.36877814
212	36.33444913
213	36.32424661
214	36.31362182
215	36.23366555
216	36.19601126
217	36.14716952
218	36.04496111
219	35.96068531
220	35.92387835
221	35.91237828
222	35.84033552
223	35.76997778
224	35.62610156
225	35.61544772
226	35.60553406
227	35.52988064
228	35.42476025
229	35.27598639
230	35.2271855
231	35.20735677
232	35.13748424
233	35.10775992
234	34.99493928
235	34.87881437
236	34.8108372
237	34.72933564
238	34.7146455
239	34.63992839
240	34.58367472
241	34.56822578
242	34.49629601
243	34.48456998
244	34.38050798
245	34.25059583
246	34.1965324
247	34.13749037
248	34.12508176
249	34.11577418
250	34.02161091
251	34.01136617
252	33.91908924
253	33.85370006
254	33.84404024
255	33.77741301
256	33.7690918
257	33.73024322
258	33.64875705
259	33.54269595
260	33.45601902
261	33.41421724
262	33.40462583
263	33.33353204
264	33.23966698
265	33.14602083
266	33.07012203
267	33.06077036
268	32.98683052
269	32.96730154
270	32.90926351
271	32.89035534
272	32.80745074
273	32.76665287
274	32.7078543
275	32.63952499
276	32.60446059
277	32.51283465
278	32.42593749
279	32.41923148
280	32.3390543
281	32.25993621
282	32.18759582
283	32.16264614
284	32.15537739
285	32.06898607
286	32.00110107
287	31.93424619
288	31.88336124
289	31.81434173
290	31.80520734
291	31.79785039
292	31.75714793
293	31.75014921
294	31.62651444
295	31.59707527
296	31.58923385
297	31.53455415
298	31.50552783
299	31.41295048
300	31.39535284
301	31.33109013
302	31.26159475
303	31.20462607
304	31.1345159
305	31.09981999
306	31.0523229
307	31.04565313
308	30.9890866
309	30.94106924
310	30.88621688
311	30.87878122
312	30.81533603
313	30.80236705
314	30.74539531
315	30.71776946
316	30.63027287
317	30.60547152
318	30.5530593
319	30.48844507
320	30.43536689
321	30.42814253
322	30.409496
323	30.34751265
324	30.27838474
325	30.27072838
326	30.18964616
327	30.14532508
328	30.10518801
329	30.06018991
330	29.94662371
331	29.88965787
332	29.81023268
333	29.72894566
334	29.67666845
335	29.60098623
336	29.59413431
337	29.56214976
338	29.47593791
339	29.47009766
340	29.46231513
341	29.43341851
342	29.36912293
343	29.36182444
344	29.30952558
345	29.22955997
346	29.16255165
347	29.08273825
348	29.05703104
349	29.00625226
350	28.95419959
351	28.85668391
352	28.84497217
353	28.83751105
354	28.83045749
355	28.75561522
356	28.69595196
357	28.63378281
358	28.62740918
359	28.62179351
360	28.58249815
361	28.53185113
362	28.5003509
363	28.43388366
364	28.36474296
365	28.35918038
366	28.28980167
367	28.26342027
368	28.17907744
369	28.08899151
370	28.03317062
371	27.95182575
372	27.94583875
373	27.94092007
374	27.9365029
375	27.88917456
376	27.83329809
377	27.77328955
378	27.70148733
379	27.67843697
380	27.62235292
381	27.52840886
382	27.51821297
383	27.45676481
384	27.36798203
385	27.30691125
386	27.25794257
387	27.17014703
388	27.1112295
389	27.04299824
390	26.99682657
391	26.91520538
392	26.91067754
393	26.82419809
394	26.81916558
395	26.77190873
396	26.7657078
397	26.70535712
398	26.67698457
399	26.64374882
400	26.59940171
401	26.53476201
402	26.5302213
403	26.52451815
404	26.45480728
405	26.3910241
406	26.34356874
407	26.29505128
408	26.26445744
409	26.22595133
410	26.13296589
411	26.07784033
412	26.01060081
413	25.95092693
414	25.87369161
415	25.83182154
416	25.80231739
417	25.77044312
418	25.76399313
419	25.68806523
420	25.59162683
421	25.52729792
422	25.48441546
423	25.46428759
424	25.42419157
425	25.35914196
426	25.27623536
427	25.27147361
428	25.23475629
429	25.18430972
430	25.14214714
431	25.13643525
432	25.07831208
433	24.99920274
434	24.959568
435	24.88522723
436	24.85156171
437	24.84585563
438	24.79208155
439	24.78799342
440	24.783575
441	24.78024527
442	24.71442289
443	24.67006332
444	24.66355411
445	24.65936131
446	24.61297942
447	24.56751085
448	24.52004635
449	24.49313545
450	24.47998858
451	24.40410185
452	24.40010863
453	24.33586198
454	24.33168448
455	24.26857017
456	24.22436332
457	24.16094676
458	24.09252065
459	24.08943609
460	24.01144346
461	23.95132846
462	23.87239602
463	23.80288897
464	23.76404111
465	23.68776367
466	23.64768719
467	23.63189174
468	23.62859055
469	23.62409019
470	23.55348068
471	23.54886863
472	23.50045327
473	23.45325503
474	23.45054288
475	23.37682756
476	23.37363434
477	23.35782992
478	23.32492137
479	23.25728543
480	23.25464452
481	23.21606838
482	23.17168343
483	23.12187741
484	23.11261012
485	23.07609835
486	23.06777974
487	23.02007147
488	23.00263365
489	22.99717222
490	22.99437763
491	22.94444311
492	22.92708381
493	22.87742741
494	22.83303952
495	22.79308523
496	22.75596823
497	22.73023889
498	22.72659964
499	22.71790437
500	22.6779676
501	22.65858027
502	22.64378026
503	22.58008976
504	22.50895412
505	22.50617134
506	22.45915166
507	22.39184785
508	22.34606891
509	22.34364926
510	22.28499196
511	22.23300421
512	22.18989247
513	22.13832183
514	22.08216667
515	22.034753
516	21.98076542
517	21.94744369
518	21.86991825
519	21.84471882
520	21.79488123
521	21.75650725
522	21.72294436
523	21.72030252
524	21.69604904
525	21.69047291
526	21.65566501
527	21.59633696
528	21.54767956
529	21.49756043
530	21.4344887
531	21.43259185
532	21.36987633
533	21.35437819
534	21.35044817
535	21.31974444
536	21.31485567
537	21.27812414
538	21.24543465
539	21.17407035
540	21.1321579
541	21.0874626
542	21.04752968
543	21.01178755
544	20.98006088
545	20.92126828
546	20.86972365
547	20.86615
548	20.86365873
549	20.84426029
550	20.83118905
551	20.77415384
552	20.71898465
553	20.67339305
554	20.60279204
555	20.55150636
556	20.53285736
557	20.47199485
558	20.44228767
559	20.43795012
560	20.42233407
561	20.41291014
562	20.37168612
563	20.3368872
564	20.3131784
565	20.27111444
566	20.26863102
567	20.21342408
568	20.20960808
569	20.20533133
570	20.19679865
571	20.15281105
572	20.09714297
573	20.04378483
574	20.02739724
575	20.00755933
576	20.00360598
577	19.99964686
578	19.99657767
579	19.98983613
580	19.95397076
581	19.90142095
582	19.87000692
583	19.83436308
584	19.79059692
585	19.72870885
586	19.71890473
587	19.69902086
588	19.63239562
589	19.6295927
590	19.59246099
591	19.582006
592	19.51726695
593	19.48177927
594	19.4722262
595	19.42347674
596	19.41950969
597	19.37340529
598	19.3291236
599	19.29319924
600	19.25229906
601	19.21277173
602	19.19512502
603	19.15814586
604	19.12074295
605	19.1149868
606	19.08068404
607	19.07885484
608	19.07330064
609	19.01772714
610	18.97649035
611	18.96477506
612	18.9230733
613	18.86945253
614	18.8542793
615	18.82250832
616	18.7920764
617	18.76295145
618	18.7110881
619	18.69932483
620	18.68006479
621	18.66239015
622	18.64683485
623	18.61515341
624	18.57310141
625	18.56985171
626	18.5242402
627	18.48468059
628	18.4375486
629	18.40154092
630	18.3716274
631	18.33414037
632	18.31019195
633	18.25996749
634	18.24624847
635	18.21969505
636	18.19256552
637	18.1726537
638	18.13877647
639	18.09654076
640	18.09205403
641	18.04193168
642	18.00199466
643	17.94309484
644	17.93128941
645	17.91796679
646	17.88511366
647	17.88279296
648	17.85501821
649	17.83191154
650	17.81350628
651	17.78288202
652	17.74924834
653	17.71236959
654	17.69460762
655	17.66824091
656	17.63391931
657	17.59559693
658	17.57029098
659	17.56860715
660	17.52468717
661	17.48384937
662	17.45625199
663	17.453974
664	17.3970223
665	17.35557827
666	17.30932628
667	17.28527826
668	17.23401966
669	17.19951721
670	17.14564913
671	17.11669535
672	17.10904624
673	17.06225062
674	17.0248009
675	17.01823074
676	16.99182255
677	16.95313553
678	16.9369202
679	16.91618369
680	16.865565
681	16.84786446
682	16.7841631
683	16.75242568
684	16.71175091
685	16.68551389
686	16.6649553
687	16.64584593
688	16.63094855
